"name","name"
"Aalst","Aalst"
"Aalst-Kerrebroek","Aalst Kerrebroek"
"Aalter","Aalter"
"Aarschot","Aarschot"
"Aarsele","Aarsele"
"Acren","Acren"
"Aiseau","Aiseau"
"Alken","Alken"
"Amay","Amay"
"Ampsin","Ampsin"
"Andenne","Andenne"
"Angleur","Angleur"
"Ans","Ans"
"Anseremme","Anseremme"
"Antoing","Antoing"
"Antwerpen-Berchem","Antwerpen Berchem"
"Antwerpen-Centraal","Antwerpen Centraal"
"Antwerpen-Haven","Antwerpen Haven"
"Antwerpen-Luchtbal","Antwerpen Luchtbal"
"Antwerpen-Noorderdokken","Antwerpen Noorderdokken"
"Antwerpen-Oost","Antwerpen Oost"
"Antwerpen-Zuid","Antwerpen Zuid"
"Anzegem","Anzegem"
"Appelterre","Appelterre"
"Archennes","Archennes"
"Arlon","Arlon"
"Asse","Asse"
"Assesse","Assesse"
"Ath","Ath"
"Athus","Athus"
"Aubange","Aubange"
"Auvelais","Auvelais"
"Aye","Aye"
"Aywaille","Aywaille"
"Baasrode-Zuid","Baasrode Zuid"
"Balegem-Dorp","Balegem Dorp"
"Balegem-Zuid","Balegem Zuid"
"Balen","Balen"
"Bambrugge","Bambrugge"
"Barvaux","Barvaux"
"Bas-Oha","Bas Oha"
"Basse-Wavre","Basse Wavre"
"Bastogne-Nord","Bastogne Nord"
"Bastogne-Sud","Bastogne Sud"
"Beauraing","Beauraing"
"Beernem","Beernem"
"Beersel","Beersel"
"Beervelde","Beervelde"
"Begijnendijk","Begijnendijk"
"Beignée","Beignée"
"Bellem","Bellem"
"Belsele","Belsele"
"Sint-Agatha-Berchem/Berchem-Sainte-Agathe","Sint Agatha Berchem Berchem Sainte Agathe"
"Beringen","Beringen"
"Berlaar","Berlaar"
"Bertrix","Bertrix"
"Berzée","Berzée"
"Beuzet","Beuzet"
"Beveren","Beveren"
"Beverlo","Beverlo"
"Bierges-Walibi","Bierges Walibi"
"Bierset-Awans","Bierset Awans"
"Bilzen","Bilzen"
"Binche","Binche"
"Bissegem","Bissegem"
"Blankenberge","Blankenberge"
"Blanmont","Blanmont"
"Blaton","Blaton"
"Bleret","Bleret"
"Bockstael","Bockstael"
"Boechout","Boechout"
